city,state,month,avg_ndvi,max_ndvi,min_ndvi,ndvi_range
Agartala,Tripura,2023-01,0.3635758064516129,0.5176909090909091,0.00879090909090909,0.5089
Agartala,Tripura,2023-02,0.3918272727272727,0.5554227272727273,-0.005072727272727273,0.5604954545454546
Agartala,Tripura,2023-03,0.43566568914956016,0.7109772727272727,0.006709090909090909,0.7042681818181818
Agartala,Tripura,2023-04,0.5134483333333334,0.6424545454545455,-0.00030000000000000003,0.6427545454545455
Agartala,Tripura,2023-05,0.3220642228739003,0.6144636363636364,-0.03076818181818182,0.6452318181818183
Agartala,Tripura,2023-06,0.12257090909090909,0.5881954545454545,-0.9558863636363637,1.544081818181818
Agartala,Tripura,2023-07,0.2665475073313783,0.5851045454545455,-0.010231818181818182,0.5953363636363637
Agartala,Tripura,2023-08,0.14770821114369503,0.5180727272727274,-0.19757727272727274,0.7156500000000001
Agartala,Tripura,2023-09,0.2691677115987461,0.5636,-0.001609090909090909,0.5652090909090909
Agartala,Tripura,2023-10,0.432439696969697,0.7593045454545455,-0.06974090909090909,0.8290454545454546
Agartala,Tripura,2023-11,0.4785442424242425,0.7527681818181818,-0.029136363636363637,0.7819045454545455
Agartala,Tripura,2023-12,0.39391334310850445,0.6576000000000001,-0.013909090909090911,0.6715090909090909
Agra,Uttar Pradesh,2023-01,0.35017122929380995,0.6408513513513514,-0.03362432432432432,0.6744756756756757
Agra,Uttar Pradesh,2023-02,0.5217235235235236,0.6328567567567568,0.41371351351351354,0.21914324324324325
Agra,Uttar Pradesh,2023-03,0.2514723626852659,0.4288405405405405,-0.03093783783783784,0.4597783783783783
Agra,Uttar Pradesh,2023-04,0.18852981981981984,0.2653918918918919,-0.041762162162162164,0.30715405405405405
Agra,Uttar Pradesh,2023-05,0.2249763963963964,0.29192162162162166,-0.008051351351351353,0.29997297297297304
Agra,Uttar Pradesh,2023-06,0.15579540540540543,0.275645945945946,-0.030294594594594597,0.3059405405405406
Agra,Uttar Pradesh,2023-07,0.1317763731473409,0.343645945945946,-0.2327864864864865,0.5764324324324325
Agra,Uttar Pradesh,2023-08,0.22031403661726243,0.4440864864864865,-0.09626486486486487,0.5403513513513514
Agra,Uttar Pradesh,2023-09,0.22718257222739985,0.4908351351351352,-0.0332972972972973,0.5241324324324326
Agra,Uttar Pradesh,2023-10,0.26849288288288287,0.3659945945945946,0.031308108108108114,0.33468648648648647
Agra,Uttar Pradesh,2023-11,0.18603560111835973,0.3086810810810811,0.030927027027027026,0.27775405405405407
Agra,Uttar Pradesh,2023-12,0.32625100261551876,0.5448648648648649,-0.041894594594594596,0.5867594594594594
Ahmedabad,Gujarat,2023-01,0.3895457771260997,0.41696272727272726,0.16604303030303033,0.25091969696969696
Ahmedabad,Gujarat,2023-02,0.3827909764309765,0.4163912121212121,0.3410660606060606,0.07532515151515151
Ahmedabad,Gujarat,2023-03,0.27341296187683284,0.3551309090909091,-0.0190969696969697,0.37422787878787883
Ahmedabad,Gujarat,2023-04,0.2351718080808081,0.29250909090909094,0.019762727272727272,0.2727463636363637
Ahmedabad,Gujarat,2023-05,0.2145549898989899,0.2600578787878788,0.09926666666666667,0.1607912121212121
Ahmedabad,Gujarat,2023-06,0.11360415151515152,0.23812090909090908,-0.10250818181818182,0.3406290909090909
Ahmedabad,Gujarat,2023-07,0.062277781036168135,0.20874,-0.08188090909090909,0.2906209090909091
Ahmedabad,Gujarat,2023-08,0.09181470185728251,0.2767936363636364,0.009814242424242425,0.26697939393939396
Ahmedabad,Gujarat,2023-09,0.2525539184952978,0.39355151515151515,-0.03701,0.43056151515151514
Ahmedabad,Gujarat,2023-10,0.4294485757575758,0.5031657575757575,0.21706242424242425,0.28610333333333327
Ahmedabad,Gujarat,2023-11,0.31393205851619643,0.3894487878787879,0.11040151515151515,0.27904727272727275
Ahmedabad,Gujarat,2023-12,0.3388413880742913,0.436469696969697,0.11056909090909092,0.3259006060606061
Aizawl,Mizoram,2023-01,0.7802058120133483,0.8499482758620691,0.4084543103448276,0.4414939655172415
Aizawl,Mizoram,2023-02,0.692046551724138,0.8030991379310346,0.4491241379310345,0.3539750000000001
Aizawl,Mizoram,2023-03,0.4302928253615128,0.747523275862069,-0.0010724137931034483,0.7485956896551724
Aizawl,Mizoram,2023-04,0.5438483333333334,0.7471362068965518,-0.026351724137931035,0.7734879310344829
Aizawl,Mizoram,2023-05,0.349779616240267,0.697818103448276,-0.011830172413793104,0.7096482758620691
Aizawl,Mizoram,2023-06,0.216519367816092,0.687494827586207,-0.03434913793103449,0.7218439655172414
Aizawl,Mizoram,2023-07,0.32451170745272523,0.6510258620689655,0.029512068965517245,0.6215137931034482
Aizawl,Mizoram,2023-08,0.17831743604004452,0.7599163793103448,-0.05369137931034483,0.8136077586206897
Aizawl,Mizoram,2023-09,0.44716070154577886,0.8437327586206897,0.03799827586206897,0.8057344827586208
Aizawl,Mizoram,2023-10,0.4939047126436782,0.8592844827586207,-0.012708620689655174,0.8719931034482759
Aizawl,Mizoram,2023-11,0.6768640229885058,0.8956370689655172,-0.019131034482758623,0.9147681034482759
Aizawl,Mizoram,2023-12,0.5531857341490545,0.8834043103448276,-0.006771551724137932,0.8901758620689655
Ajmer,Rajasthan,2023-01,0.3269629032258065,0.41363750000000005,-0.0333125,0.44695000000000007
Ajmer,Rajasthan,2023-02,0.37974444444444444,0.42305000000000004,0.35515,0.06790000000000002
Ajmer,Rajasthan,2023-03,0.28070403225806456,0.413575,0.007500000000000001,0.406075
