month,station,AT,BP,Benzene,CO,Eth-Benzene,MP-Xylene,NH3,NO,NO2,NOx,O Xylene,Ozone,PM10,PM2.5,RF,RH,SO2,SR,TOT-RF,Toluene,VWS,WD,WS,Xylene,address,city,latitude,longitude,state
1,"32Bungalows, Bhilai - CECB",21.33924045942936,,1.1099886363636364,0.9999330855018564,,,34.79442537313438,7.181568480300185,17.306218738335236,20.88607316162746,,41.17856718634003,82.04905824508309,42.92524080394378,0.0016672841793256763,62.21941459799928,14.6342398206948,152.22068173397565,0.0015120967741935483,,,140.30237865876265,0.477247128566136,,"Bhilai RO Office, 5, 32 Bungalows, Bhilai, Dist.- Durg, Chhattisgarh",Bhilai,21.194815,81.31477,Chhattisgarh
1,"AIIMS, Raipur - CECB",25.54702823179794,,2.0706203566121792,1.5124449438202272,,,77.72476117103238,30.40554843573301,67.89936291240046,64.88307199396911,,7.950423791821599,101.25358150470184,44.83641443539,0.0005943536404160475,59.570769518117224,11.33420736288503,110.35768945022257,0.0005376344086021505,,,122.11527117384848,0.34756224451876677,,"All India Institute Of Medical Science, Gate No. 4, Great Eastern Road, Tatibandh, Raipur, Chhattisgarh.",Raipur,21.258815,81.578979,Chhattisgarh
1,"Bhatagaon New ISBT, Raipur - CECB",22.519121856866537,,0.6977984189723295,1.660502431118317,,,37.340978260869555,39.35213172252524,92.91432632398744,83.10836838006219,,4.913305227656004,94.46437551695614,45.23358589951387,0.001005413766434648,55.389941972920695,5.22548613822725,146.98661508704038,0.0008736559139784947,,,132.94196518375273,0.39194885703215826,,"Bhatagaon Interstate New Bus Stand, Raipur, Chhattisgarh",Raipur,21.219665,81.630094,Chhattisgarh
1,"Civic Center, Bhilai - Bhilai Steel Plant",,,,1.3195823095823092,,,9.434000000000001,17.245833333333334,4.8441975308641965,7.014098360655736,,23.416280323450135,76.36459330143538,30.310409638554187,,,5.632607655502392,,,,,,,,"Back Side of Nehru Art Gallery, Civic center, Bhilai, Chattisgarh",Bhilai,21.185571,81.343175,Chhattisgarh
1,"Hathkhoj, Bhilai - CECB",20.861049661399576,,21.019206170052716,0.9647023360964586,,,29.274380952380973,6.887545454545468,21.325527314112264,27.755420454545515,,44.58791903140359,100.20622396856587,47.210463549920775,0.0017306245297215954,57.3250827689993,33.05646212121217,166.28559066967622,0.001545698924731183,,,165.23002634550252,0.7004100827689986,,"CSIDC Office, Bhilai, Dist.- Durg, Chhattisgarh",Bhilai,21.224231,81.40835,Chhattisgarh
1,"Krishak Nagar, Raipur - CECB",21.020941000746816,,8.659996265870062,0.9821031004856183,,,6.491535300709754,22.895405709992477,40.274857250187864,40.9519158527423,,5.179895287958105,84.42742932529207,36.514355572403254,0.0,62.68786407766995,8.920131529500175,109.80276325616124,0.0,,,134.73102315160574,0.410384615384615,,"Guest House, Indira Gandhi Krishi Vishwavidyalaya, Krishak Nagar, Raipur, Chhattisgarh",Raipur,21.237755,81.705301,Chhattisgarh
1,"Mangala, Bilaspur - NTPC",33.2140744643485,746.176942003516,,1.727658827658828,,,,15.415840602696255,15.41832408874802,23.609799225079197,,,76.73081985708914,25.470468227424742,0.0,50.22185237258342,8.772802816901411,121.14258257203092,0.0,,,178.40374407582937,0.1363916349809884,,"Sanjay Taran Pushkar, 27 Kholi, Vikas Nagar, Mangla, Bilaspur, Chhattisgarh 495001",Bilaspur,22.08815,82.13737,Chhattisgarh
1,"Nawapara SECL Colony, Chhal - CECB",20.119256718124632,,0.7060320182961796,0.8091461318051562,,,14.64579374275781,5.657046902142436,22.851236215902546,18.1253155761436,,48.58411595866821,99.23210434782573,42.493733333333346,0.00022870211549456834,72.70459910198856,22.727266187050336,159.16054888507708,0.00013440860215053763,,,142.6271869639795,0.3099256718124638,,"Nawapara SECL Colony, Chhal, Dist- Raigarh, Chhattisgarh.",Chhal,22.118125,83.140608,Chhattisgarh
1,"OP Jindal Industrial Park, Tumidih - CECB",23.145079365079376,,4.021848739495799,0.8450467289719638,,,18.459480642115206,10.008791002811616,35.88872985781987,29.59119962511719,,37.48075829383886,122.32551690821268,39.44084493041748,0.00018674136321195146,62.24911297852476,20.023364661654153,164.52175536881427,6.720430107526882e-05,,,155.25384687208216,0.5867507002801116,,"OP Jindal Industrial Park, Tumidih, Dist.- Raigarh, Chhattisgarh",Tumidih,22.06631475,83.33820077,Chhattisgarh
1,"OP Jindal School, Kunjemura - CECB",25.746293604651186,,1.0114607558139523,1.0248943918426785,,,19.265096011816805,10.883036496350384,48.2415182481752,35.365875912408754,,38.58859431900939,84.83944690265494,29.746881559220338,0.0,69.43233284883719,22.086242424242414,54.07979651162796,0.0,,,165.51476744186024,0.28370639534883685,,"OP Jindal School, Kunjemura, Tamnar, Distt - Raigarh, Chhattisgarh",Kunjemura,22.12665,83.483212,Chhattisgarh
1,"Rampur, Korba - CECB",23.536160122386566,,1.726211116777155,0.6203629856850728,,,11.285023160061765,4.439974411463669,26.60926250644657,18.853899692937574,,40.441864686468705,85.54868942731278,42.604683619160255,0.00010198878123406426,58.945436002039735,14.034218993253804,174.0719020907696,6.720430107526882e-05,,,221.3088424273327,0.9641050484446716,,"RO Office Korba, CECB, Near Tehsil Office, Rampur, Korba, Chhattisgarh",Korba,22.368195,82.746431,Chhattisgarh
