city,state,YearMonth,AT,BP,PM2.5,RF,VWS,WD,WS,latitude,longitude
Charkhi Dadri,Haryana,2023-09,30.013643178410845,,34.4420036429872,,,168.35066642651324,2.1739293439077167,28.593883,76.270653
Charkhi Dadri,Haryana,2023-10,26.54296999620206,,67.35344401271597,,,200.6341596638654,2.3431595521343582,28.593883,76.270653
Charkhi Dadri,Haryana,2023-11,21.08805158730159,,119.56757936507924,,,181.77668643732696,2.081022906793049,28.593883,76.270653
Charkhi Dadri,Haryana,2023-12,15.3424311594203,,94.80935856992686,,,200.16209593326366,2.2253002429711835,28.593883,76.270653
Chennai,Tamil Nadu,2023-01,,840.1553786155165,48.02779339001778,0.00016812373907195696,-0.4660369480007928,203.159722059752,1.047734425922057,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-02,,839.0622337662079,41.99358308067739,0.0005482495509879063,-0.47222474022390243,210.49623092602135,0.9838482312145655,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-03,,838.0787676579945,26.599816847476006,0.01910743784570854,-0.46724214528417446,167.92171292264987,1.462569622042378,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-04,,835.9533922136239,21.873388060785746,0.0008022401067242745,-0.46468676643063916,168.57742186477103,1.5345498057836455,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-05,,834.7694023090966,27.757637642077054,0.02083768963054236,-0.46240630678151873,155.12359294983384,1.4836526723653258,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-06,,833.0482528086312,25.8157704497743,0.03944154256075689,-0.4557621524059543,152.90246677258565,1.6355020487801277,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-07,,833.030907119045,22.39575121877786,0.022977692568603627,-0.4571725982186445,149.97676429129766,1.559414350829038,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-08,,835.1087498813105,25.911645686875968,0.12401110014271526,-0.4699509540804145,160.09955801920316,1.5959341054855778,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-09,,833.6092381603365,17.313192389419395,0.10484984462544926,-0.47215373411564227,184.7461103197355,1.6021674049031434,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-10,,834.4579289109826,29.466111985845,0.05145920533489648,-0.4807179512721295,158.1844791916307,1.4555262681425083,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-11,,833.2400488689667,30.81339331986086,0.3317010556220302,-0.4774827332917189,169.24208654997867,1.5147008567247737,13.047254142857144,80.2303309
Chennai,Tamil Nadu,2023-12,,833.2677601712367,39.040636933868576,0.21640376879597428,-0.46078641416640426,170.39279274836835,1.9370839079645485,13.047254142857144,80.2303309
Chhal,Chhattisgarh,2023-01,20.119256718124632,,42.493733333333346,0.00022870211549456834,,142.6271869639795,0.3099256718124638,22.118125,83.140608
Chhal,Chhattisgarh,2023-02,20.832226001511756,,29.35355642023348,0.0,,149.60336738554705,0.40051059001512845,22.118125,83.140608
